link_ID,Kind_num,Kind,Width,Direction,Toll,Const_St,UndConCRID,SnodeID,EnodeID,FuncClass,Length,DetailCity,Through,UnThruCRID,Ownership,Road_Cond,Special,AdminCodeL,AdminCodeR,Uflag,OnewayCRID,AccessCRID,SpeedClass,LaneNumS2E,LaneNumE2S,LaneNum,Vehcl_Type,Elevated,Structure,UseFeeCRID,UseFeeType,SpdLmtS2E,SpdLmtE2S,SpdSrcS2E,SpdSrcE2S,DC_Type,NoPassCRID,OutBanCRID,NumBanCRID,ParkFlag,PHYLaneS2E,PHYLaneE2S,DThrough,DThruCRID,LaneNumSum,MobBriCRID,BusLaneS2E,BusLaneS2ECRID,BusLaneE2S,BusLaneE2SCRID,partition
132083670,2,0102|010c,55,2,2,1,,10943405,752835,2,0.108,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
132083690,2,0105|010b,30,2,2,1,,10943406,12197132,2,0.053,1,1,,0,1,0,110101,110101,1,,,7,1.0,,1,11100001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
147531560,1,030a,55,2,2,1,,46981947,12197132,3,0.01,1,1,,0,1,0,110101,110101,1,,,7,2.0,,2,11110001110000000000000000000000,0,0,,,300.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,0
132083700,1,030a,55,2,2,1,,759879,10943407,3,0.008,1,1,,0,1,0,110101,110101,1,,,7,2.0,,2,11110001110000000000000000000000,0,0,,,300.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,0
132083710,1,030a,55,2,2,1,,10943407,46981946,3,0.012,1,1,,0,1,0,110101,110101,1,,,7,2.0,,2,11110001110000000000000000000000,0,0,,,300.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,0
132083880,2,0102|010c,55,2,2,1,,737846,10943416,2,0.049,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
132083890,2,0102|010c,55,2,2,1,,10943416,10780658,2,0.022,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,1,9000181633606.0,0,,0
132083900,2,0102|010c,55,2,2,1,,10780686,10943417,2,0.009,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,1
132083910,2,0102|010c,55,2,2,1,,10943417,739990,2,0.049,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
5776960,3,0105|010b|0117,30,2,2,1,,739989,739990,2,0.037,1,1,,0,1,0,110101,110101,1,,,6,1.0,,1,11100001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
132083920,1,030a,55,2,2,1,,773550,10943418,2,0.022,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,1
132083930,1,030a,55,2,2,1,,10943418,739989,2,0.014,1,1,,0,1,0,110101,110101,1,,,6,2.0,,2,11110001110000000000000000000000,0,0,,,500.0,,1.0,,1,,,,0,2.0,0.0,0,,2,,0,,0,,0
5761810,3,0105|010b|0117,30,2,2,1,,714818,714819,3,0.069,1,1,,0,1,0,110101,110101,1,,,6,1.0,,1,11100001110000000000000000000000,0,0,,,500.0,,0.0,,1,,,,0,1.0,,0,,1,,0,,0,,0
132084150,2,0102|010c,55,2,2,1,,10943429,714819,2,0.08,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
132084030,1,0602,55,2,2,1,,10943423,738569,3,0.042,1,1,,0,1,0,110101,110101,1,,,6,3.0,,2,11100001110000000000000000000000,0,0,,,400.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,0
132084140,2,0102|010c,55,2,2,1,,768235,10943429,2,0.073,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,1
132084760,2,0102|010c,55,2,2,1,,737929,10943460,2,0.082,1,1,,0,1,0,110101,110101,1,,,4,3.0,,2,11100001110000000000000000000000,0,0,,,800.0,,1.0,,1,,,,0,3.0,,0,,3,,0,,0,,1
