case,model,metric,mean,std,vs_static_pct,paper,vs_paper_pct
beijing_L12,static,MAE,3.386278179881793,0.014030250047409164,0.0,3.367,0.5725625150517555
beijing_L12,static,MSE,27.461428869587007,0.18277413922051441,0.0,26.893,2.11366849956125
beijing_L12,unified,MAE,3.3064435012339173,0.0030034247157288804,-2.3575936295541555,3.367,-1.7985298118824655
beijing_L12,unified,MSE,25.33883228292373,0.02318162553339892,-7.729374158727809,26.893,-5.77907900597282
beijing_L12,no_background,MAE,3.3365196161696864,0.003972688915852442,-1.4694174863638443,3.367,-0.905268305028617
beijing_L12,no_background,MSE,26.455643040747844,0.029628326161941332,-3.6625400434026623,26.893,-1.6262854990226283
beijing_L12,no_dynamic,MAE,3.3165710924838407,0.0020664088158361786,-2.0585162734735984,3.367,-1.4977400509699756
beijing_L12,no_dynamic,MSE,25.41289678563707,0.019713377659451765,-7.459670411464447,26.893,-5.503674615561415
beijing_L24,static,MAE,3.517649616926975,0.03603911931128971,0.0,3.476,1.1982053201085918
beijing_L24,static,MSE,28.29907250136831,0.17738943056912637,0.0,27.527,2.8047825820769035
beijing_L24,unified,MAE,3.375412379468112,0.0013799165035649943,-4.0435305658191645,3.476,-2.8937750440704235
beijing_L24,unified,MSE,25.733957546068257,0.011319558319183784,-9.064307514587366,27.527,-6.513759050865486
beijing_L24,no_background,MAE,3.401990234438199,0.0016116242967281792,-3.2879733652897425,3.476,-2.129164716967802
beijing_L24,no_background,MSE,26.656975459100078,0.011740138647608995,-5.802653221899179,27.527,-3.1606224466884214
beijing_L24,no_dynamic,MAE,3.4038665561744557,0.0007520739685554444,-3.2346331540524575,3.476,-2.0751853804817144
beijing_L24,no_dynamic,MSE,25.92416878650505,0.00844579661826014,-8.39216096127684,27.527,-5.822760248101688
shanghai_L12,static,MAE,3.9627838316776276,0.002859817264945651,0.0,4.018,-1.3742202170824336
shanghai_L12,static,MSE,36.420604439613044,0.02794245030085481,0.0,37.076,-1.7677083838249952
shanghai_L12,unified,MAE,3.896157169181804,0.0006954299700301102,-1.6813095370790676,4.018,-3.0324248585912317
shanghai_L12,unified,MSE,34.72705938360728,0.010380483283291038,-4.649964167436405,37.076,-6.3354747448287725
shanghai_L12,no_background,MAE,3.916456385611977,0.0010128488728352977,-1.1690631645188132,4.018,-2.5272178792439703
shanghai_L12,no_background,MSE,35.61319550394949,0.011552846668699957,-2.216901526173931,37.076,-3.9454215558596073
shanghai_L12,no_dynamic,MAE,3.918109969696759,0.001280076449697903,-1.127335324822798,4.018,-2.4860634719572117
shanghai_L12,no_dynamic,MSE,35.00786859782579,0.014220085453322517,-3.8789467212979156,37.076,-5.57808663872642
shanghai_L24,static,MAE,4.126340213055635,0.003779358739222954,0.0,4.173,-1.1181353209768652
shanghai_L24,static,MSE,37.11016764580599,0.055890472108478924,0.0,37.992,-2.321100111060248
shanghai_L24,unified,MAE,4.004882318774539,0.0018398387061686378,-2.943477464529143,4.173,-4.028700724310119
shanghai_L24,unified,MSE,35.15944282115086,0.03578312905123099,-5.256577774785631,37.992,-7.455667453277359
shanghai_L24,no_background,MAE,4.030742868188487,0.0017663697041572746,-2.3167586755129976,4.173,-3.408989499437165
shanghai_L24,no_background,MSE,35.700918007142306,0.03777477434285181,-3.7974758080160487,37.992,-6.030432703878952
shanghai_L24,no_dynamic,MAE,4.034057357182987,0.0008086385312062869,-2.2364335248137746,4.173,-3.329562492619531
shanghai_L24,no_dynamic,MSE,35.61787871881184,0.013397014023080647,-4.021240058080955,37.992,-6.249003161687094
largest_L12,static,MAE,4.6042773949222475,0.026199098736836977,0.0,4.369,5.385154381374413
largest_L12,static,MSE,53.51256590734691,0.8902162801471606,0.0,43.333,23.491486643774763
largest_L12,unified,MAE,4.138520277340135,0.0035332288352710175,-10.115748414632131,4.369,-5.275342702217101
largest_L12,unified,MSE,40.02666424250255,0.03103062970415273,-25.201373614179168,43.333,-7.6300642870270945
largest_L12,no_background,MAE,4.460023196241551,0.007329792527646388,-3.13304751880904,4.369,2.083387416835669
largest_L12,no_background,MSE,48.234699495323724,0.15127883530086186,-9.86285430820385,43.333,11.311701233064241
largest_L12,no_dynamic,MAE,4.3894529251144085,0.0027043450824171594,-4.665758627939198,4.369,0.46813744825837666
largest_L12,no_dynamic,MSE,43.560268173664326,0.029952919580268127,-18.598057418727144,43.333,0.5244690505257665
largest_L24,static,MAE,4.886421494052788,0.01373809354438131,0.0,4.491,8.804753819924048
largest_L24,static,MSE,58.9399980197157,0.36338684790920733,0.0,44.398,32.75372318508873
largest_L24,unified,MAE,4.137822352755259,0.005290521636005678,-15.31998707456247,4.491,-7.864120401797836
largest_L24,unified,MSE,39.741628990785074,0.1373196974731169,-32.57273443156324,44.398,-10.487794516002813
largest_L24,no_background,MAE,4.7435940774522,0.007708084918429589,-2.922945079019934,4.491,5.62445062240482
largest_L24,no_background,MSE,54.47058363696165,0.13021536251415566,-7.582990384999699,44.398,22.687021120234352
largest_L24,no_dynamic,MAE,4.254963636031702,0.0016395395750596125,-12.922705476587048,4.491,-5.255764060750334
largest_L24,no_dynamic,MSE,41.469489849793845,0.020058819967250244,-29.64117535952052,44.398,-6.596040700495875
