realization,dataset,paper_mae,journal_mae_mean,journal_mae_std,mae_vs_paper_pct,mae_seed_wins,paper_mse,journal_mse_mean,journal_mse_std,mse_vs_paper_pct,mse_seed_wins
LSTM,Beijing,3.534,3.510895013809204,0.019142575756986684,-0.6537913466552303,5/5,27.433,27.215154266357423,0.25674092811009264,-0.7941010230108847,4/5
LSTM,Shanghai,4.524,4.265354824066162,0.01773455806841562,-5.717178955213031,5/5,42.38,39.30715637207031,0.21802849970843308,-7.250692845516027,5/5
LSTM,LargeST,4.644,4.458182334899902,0.032790694920162435,-4.001241711888415,5/5,45.52,44.62924652099609,0.4481846984887023,-1.9568398044901403,5/5
FiLM,Beijing,3.367,3.3974992275238036,0.01733565127503142,0.9058279632849331,0/5,26.893,26.764508056640626,0.15778916085375985,-0.4777895488021988,4/5
FiLM,Shanghai,4.018,4.036844158172608,0.04348643771198304,0.4689934836388243,1/5,37.076,36.230500030517575,0.28329364018145975,-2.280450883273344,5/5
FiLM,LargeST,4.369,4.271798419952392,0.015439266931123095,-2.2248015575098923,5/5,43.333,43.04097213745117,0.2948369891816908,-0.673915636002187,4/5
